availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
187,Chicago,3843347,Andrea,3897045,2024-08-04,41.89637,-87.62726,32,Chic and modern - Best location in Chicago,Near North Side,38,162.00,Entire home/apt
1,Chicago,4010906,Bobbie,3924599,2022-09-16,41.8198,-87.61423,5,Unique and Chic 1,Grand Boulevard,8,130.00,Private room
305,Chicago,20490917,Robert,3953322,2025-03-10,41.91374,-87.64014,2,Spacious Luxury Townhouse - Old Town,Lincoln Park,231,150.00,Entire home/apt
337,Chicago,20528154,Gabriela,3962072,2024-11-05,41.88503,-87.68664,3,SPACIOUS and VERY BRIGHT 2BDR LOFT near DOWNTOWN,Near West Side,140,106.00,Entire home/apt
57,Chicago,5016495,Erika,966137,2023-09-01,41.86801,-87.67877,32,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",Near West Side,41,137.00,Entire home/apt
342,Chicago,5076708,Lois And Eduardo,979841,2024-12-12,42.00588,-87.66853,2,"Huge Victorian near Loyola, Lake #1",Rogers Park,341,74.00,Private room
314,Chicago,5076708,Lois And Eduardo,979926,2025-02-09,42.00477,-87.66842,2,"Huge Victorian near Loyola, Lake #2",Rogers Park,379,73.00,Private room
347,Chicago,5076708,Lois And Eduardo,979942,2024-12-20,42.00378,-87.66807,2,"Huge Victorian near Loyola, Lake #3",Rogers Park,341,73.00,Private room
315,Chicago,5076708,Lois And Eduardo,983640,2024-12-31,42.00456,-87.67058,2,Huge Victorian near Loyola 2bd Apt,Rogers Park,292,179.00,Entire home/apt
1,Chicago,3843347,Andrea,1020810,2024-12-20,41.89395,-87.62593,32,Beautiful Condo in Chicago,Near North Side,42,95.00,Entire home/apt
68,Chicago,5654677,Urban Art,1027463,2021-09-05,41.8544,-87.70852,32,Chicago Women's Residence Florence Comfy Rm,North Lawndale,11,45.00,Private room
106,Chicago,5654677,Urban Art,1027741,2019-10-13,41.85454,-87.70802,32,Chicago Women's Residence Midler Rm,North Lawndale,5,45.00,Private room
